jackhmmer_n_cpu,동시타깃수,총요구스레드,코어당_스레드비,과다구독,벽시계_s,건당_s,처리율_건당분,최고대비_처리율,_2000건_예상_h
1,1,4,0.17,아니오,307.0,306.99,0.1954,0.218,170.6
2,1,8,0.33,아니오,160.2,160.18,0.3745,0.418,89.0
4,1,16,0.67,아니오,89.1,89.1,0.6734,0.752,49.5
6,1,24,1.0,아니오,77.1,77.07,0.7785,0.87,42.8
8,1,32,1.33,예,67.4,67.4,0.8901,0.994,37.4
12,1,48,2.0,예,67.0,67.02,0.8951,1.0,37.2
2,2,16,0.67,아니오,231.6,115.78,0.5181,0.579,64.3
4,2,32,1.33,예,156.5,78.24,0.7668,0.857,43.5
6,2,48,2.0,예,139.3,69.64,0.8615,0.962,38.7
2,3,24,1.0,아니오,298.0,99.32,0.604,0.675,55.2
4,3,48,2.0,예,238.8,79.6,0.7537,0.842,44.2
2,6,48,2.0,예,470.9,78.47,0.7645,0.854,43.6
1,6,24,1.0,아니오,612.3,102.05,0.5879,0.657,56.7
3,8,96,4.0,예,566.0,70.75,0.848,0.947,39.3
