측정,조건,AF3플래그,DB구성,타깃수,벽시계_s,건당_s,비고
단계분리 4건 WARM,캐시 데우기(측정제외),--norun_data_pipeline,MSA 재사용,4,50.44,12.61,버킷 128/256 컴파일 rc=0
단계분리 4건 D1,데이터파이프라인만,--norun_inference,축소DB 2GB,4,7.92,1.98,캐시 데운 뒤 rc=0
단계분리 4건 D2,데이터파이프라인만,--norun_inference,4GB슬라이스 4종,4,121.62,30.41,첫건 91.7s 포함 rc=0
단계분리 4건 I1,추론만(_data.json 재사용),--norun_data_pipeline,MSA 재사용,4,50.44,12.61,캐시 데운 뒤 1회 rc=0
단계분리 4건 I2,추론만(_data.json 재사용),--norun_data_pipeline,MSA 재사용,4,55.39,13.85,캐시 데운 뒤 2회 rc=0
단계분리 4건 F1,전체(파이프라인+추론),(없음),축소DB 2GB,4,71.71,17.93,캐시 데운 뒤 rc=0
정합 6건 R,추론만(_data.json 재사용),--norun_data_pipeline,MSA 재사용,6,67.79,11.3,정합 6건 1회 rc=0
정합 6건 F,전체(파이프라인+추론),(없음),축소DB 2GB,6,78.01,13.0,정합 6건 rc=0
정합 6건 R2,추론만(_data.json 재사용),--norun_data_pipeline,MSA 재사용,6,67.94,11.32,정합 6건 반복 rc=0

