조건,타깃,등급,경고,ranking_score,pTM,ipTM,pLDDT평균,pLDDT중앙값,pLDDT최소,pLDDT_p10,pLDDT_70이상비율,pLDDT_90이상비율,fraction_disordered,has_clash,MSA_unpaired깊이,MSA_paired깊이,토큰수,원자수,체인수,체인ID,패딩버킷,샘플수,ranking최고,ranking최저,ranking산포,chain_pTM,chain_ipTM,min_chain_pair_ipTM,ranking검산차,출력경로
재사용,vhh_4qgy_1,A_높음,MSA얕음;버킷256,0.88,0.88,,90.47,96.09,39.62,73.09,0.9121,0.7565,0.0,0.0,9,158,135,1035,1,A,256,5,0.8821,0.8703,0.0118,0.88,,,-0.0,/home/researcher/af3_t4x/out_R/vhh_4qgy_1
재사용,vhh_4s11_1,B_신뢰,MSA얕음;버킷256,0.88,0.88,,89.7085,95.08,34.42,73.351,0.9153,0.6804,0.0,0.0,13,169,130,992,1,A,256,5,0.881,0.8746,0.0064,0.88,,,-0.0,/home/researcher/af3_t4x/out_R/vhh_4s11_1
재사용,vhh_7a50_1,B_신뢰,무질서;MSA얕음;버킷256,0.86,0.8,,84.1494,92.355,34.15,55.43,0.8013,0.5656,0.1,0.0,9,205,138,1082,1,A,256,5,0.8553,0.8534,0.0018,0.8,,,0.01,/home/researcher/af3_t4x/out_R/vhh_7a50_1
재사용,vhh_7djx_1,B_신뢰,MSA얕음;버킷256,0.82,0.82,,82.3297,90.41,28.29,51.049,0.7643,0.5118,0.0,0.0,10,179,131,1014,1,A,256,5,0.817,0.8121,0.0049,0.82,,,-0.0,/home/researcher/af3_t4x/out_R/vhh_7djx_1
재사용,vhh_7mfv_1,A_높음,MSA얕음,0.9,0.9,,92.2898,96.405,39.75,78.257,0.9471,0.7797,0.0,0.0,13,177,116,908,1,A,128,5,0.8992,0.8923,0.0069,0.9,,,-0.0,/home/researcher/af3_t4x/out_R/vhh_7mfv_1
재사용,vhh_8v8k_1,B_신뢰,MSA얕음,0.85,0.85,,88.1819,93.69,37.15,69.566,0.8946,0.606,0.0,0.0,12,225,123,939,1,A,128,5,0.8482,0.8398,0.0084,0.85,,,-0.0,/home/researcher/af3_t4x/out_R/vhh_8v8k_1
재사용2,vhh_4qgy_1,A_높음,MSA얕음;버킷256,0.88,0.88,,90.47,96.09,39.62,73.09,0.9121,0.7565,0.0,0.0,9,158,135,1035,1,A,256,5,0.8821,0.8703,0.0118,0.88,,,-0.0,/home/researcher/af3_t4x/out_R2/vhh_4qgy_1
재사용2,vhh_4s11_1,B_신뢰,MSA얕음;버킷256,0.88,0.88,,89.7085,95.08,34.42,73.351,0.9153,0.6804,0.0,0.0,13,169,130,992,1,A,256,5,0.881,0.8746,0.0064,0.88,,,-0.0,/home/researcher/af3_t4x/out_R2/vhh_4s11_1
재사용2,vhh_7a50_1,B_신뢰,무질서;MSA얕음;버킷256,0.86,0.8,,84.1494,92.355,34.15,55.43,0.8013,0.5656,0.1,0.0,9,205,138,1082,1,A,256,5,0.8553,0.8534,0.0018,0.8,,,0.01,/home/researcher/af3_t4x/out_R2/vhh_7a50_1
재사용2,vhh_7djx_1,B_신뢰,MSA얕음;버킷256,0.82,0.82,,82.3297,90.41,28.29,51.049,0.7643,0.5118,0.0,0.0,10,179,131,1014,1,A,256,5,0.817,0.8121,0.0049,0.82,,,-0.0,/home/researcher/af3_t4x/out_R2/vhh_7djx_1
재사용2,vhh_7mfv_1,A_높음,MSA얕음,0.9,0.9,,92.2898,96.405,39.75,78.257,0.9471,0.7797,0.0,0.0,13,177,116,908,1,A,128,5,0.8992,0.8923,0.0069,0.9,,,-0.0,/home/researcher/af3_t4x/out_R2/vhh_7mfv_1
재사용2,vhh_8v8k_1,B_신뢰,MSA얕음,0.85,0.85,,88.1819,93.69,37.15,69.566,0.8946,0.606,0.0,0.0,12,225,123,939,1,A,128,5,0.8482,0.8398,0.0084,0.85,,,-0.0,/home/researcher/af3_t4x/out_R2/vhh_8v8k_1
원래실행,vhh_4qgy_1,B_신뢰,MSA얕음;버킷256,0.87,0.87,,87.9931,94.39,33.26,62.942,0.8541,0.6831,0.0,0.0,9,158,135,1035,1,A,256,5,0.8667,0.8601,0.0066,0.87,,,-0.0,/home/researcher/af3_db_track/af3out_reduced/vhh_4qgy_1
원래실행,vhh_4s11_1,A_높음,MSA얕음;버킷256,0.88,0.88,,90.0295,95.15,36.02,74.67,0.9224,0.6875,0.0,0.0,13,169,130,992,1,A,256,5,0.8815,0.8762,0.0053,0.88,,,-0.0,/home/researcher/af3_db_track/af3out_reduced/vhh_4s11_1
원래실행,vhh_7a50_1,B_신뢰,무질서;MSA얕음;버킷256,0.85,0.8,,84.06,92.285,34.16,55.409,0.7994,0.5619,0.1,0.0,9,205,138,1082,1,A,256,5,0.8547,0.8531,0.0017,0.8,,,-0.0,/home/researcher/af3_db_track/af3out_reduced/vhh_7a50_1
원래실행,vhh_7djx_1,B_신뢰,MSA얕음;버킷256,0.82,0.82,,82.5636,90.54,31.01,51.456,0.7663,0.5168,0.0,0.0,10,179,131,1014,1,A,256,5,0.8173,0.8146,0.0028,0.82,,,-0.0,/home/researcher/af3_db_track/af3out_reduced/vhh_7djx_1
원래실행,vhh_7mfv_1,A_높음,MSA얕음,0.9,0.9,,92.2898,96.405,39.75,78.257,0.9471,0.7797,0.0,0.0,13,177,116,908,1,A,128,5,0.8992,0.8923,0.0069,0.9,,,-0.0,/home/researcher/af3_db_track/af3out_reduced/vhh_7mfv_1
원래실행,vhh_8v8k_1,B_신뢰,MSA얕음,0.85,0.85,,88.1819,93.69,37.15,69.566,0.8946,0.606,0.0,0.0,12,225,123,939,1,A,128,5,0.8482,0.8398,0.0084,0.85,,,-0.0,/home/researcher/af3_db_track/af3out_reduced/vhh_8v8k_1
새파이프라인,vhh_4qgy_1,B_신뢰,MSA얕음;버킷256,0.86,0.86,,87.334,93.74,34.48,61.428,0.8483,0.6502,0.0,0.0,7,165,135,1035,1,A,256,5,0.8645,0.8594,0.0051,0.86,,,-0.0,/home/researcher/af3_t4x/out_F/vhh_4qgy_1
