실험,tag,pdb_entity,설명,서열길이_aa,축소DB_깊이,전체DB_깊이,깊이_배수,축소DB_시간_s,전체DB_시간_s,시간_배수,전체DB_AF3상한적용후,축소DB_AF3상한적용후,상한적용_깊이배수,축소DB_paired깊이,전체DB_paired깊이,축소DB_ranking,전체DB_ranking,Δranking,축소DB_pTM,전체DB_pTM,ΔpTM,축소DB_pLDDT평균,전체DB_pLDDT평균,ΔpLDDT,축소DB_pLDDT>90비율,전체DB_pLDDT>90비율,ipTM
jackhmmer 단독 (uniref90만),vhh_7mfv_1,7MFV_1,Synthetic Nanobody #16 (Sb16),116,724,23947,33.1,25.11,978.96,39.0,10000.0,724.0,13.8,,,,,,,,,,,,,,
jackhmmer 단독 (uniref90만),vhh_8v8k_1,8V8K_1,Nanobody NbE,123,811,25503,31.4,10.58,597.28,56.5,10000.0,811.0,12.3,,,,,,,,,,,,,,
jackhmmer 단독 (uniref90만),vhh_4s11_1,4S11_1,GELSOLIN NANOBODY,130,721,23742,32.9,11.85,799.98,67.5,10000.0,721.0,13.9,,,,,,,,,,,,,,
jackhmmer 단독 (uniref90만),vhh_7djx_1,7DJX_1,Clec4f Nanobody 246,131,730,23885,32.7,10.46,821.44,78.5,10000.0,730.0,13.7,,,,,,,,,,,,,,
jackhmmer 단독 (uniref90만),vhh_4qgy_1,4QGY_1,"nanobody n25, VH domain",135,705,23693,33.6,10.31,450.97,43.7,10000.0,705.0,14.2,,,,,,,,,,,,,,
jackhmmer 단독 (uniref90만),vhh_7a50_1,7A50_1,Nanobody Nb26,138,759,24124,31.8,10.51,463.64,44.1,10000.0,759.0,13.2,,,,,,,,,,,,,,
AF3 전체 파이프라인 (단백질 DB 4종),vhh_7djx_1,7DJX_1,Clec4f Nanobody 246,131,10,10691,1069.0,3.0,1795.34,598.0,,,,179.0,24289.0,0.82,0.82,0.0,0.82,0.82,0.0,82.564,82.755,0.191,0.5168,0.5227,단량체이므로 산출되지 않음
AF3 전체 파이프라인 (단백질 DB 4종),vhh_7a50_1,7A50_1,Nanobody Nb26,138,9,10677,1186.0,3.0,1813.19,604.0,,,,205.0,25000.0,0.85,0.88,0.03,0.8,0.83,0.03,84.06,86.177,2.117,0.5619,0.5887,단량체이므로 산출되지 않음
AF3 전체 파이프라인 (단백질 DB 4종),vhh_8v8k_1,8V8K_1,Nanobody NbE,123,12,10745,895.0,3.0,1806.27,602.0,,,,225.0,27353.0,0.85,0.88,0.03,0.85,0.88,0.03,88.182,89.923,1.741,0.606,0.6667,단량체이므로 산출되지 않음
AF3 전체 파이프라인 (단백질 DB 4종),vhh_4qgy_1,4QGY_1,"nanobody n25, VH domain",135,9,10671,1186.0,3.0,1729.47,576.0,,,,158.0,24250.0,0.87,0.86,-0.01,0.87,0.86,-0.01,87.993,87.002,-0.991,0.6831,0.6329,단량체이므로 산출되지 않음
AF3 전체 파이프라인 (단백질 DB 4종),vhh_4s11_1,4S11_1,GELSOLIN NANOBODY,130,13,10666,820.0,3.0,1794.58,598.0,,,,169.0,24278.0,0.88,0.88,0.0,0.88,0.88,0.0,90.029,90.432,0.403,0.6875,0.7087,단량체이므로 산출되지 않음
AF3 전체 파이프라인 (단백질 DB 4종),vhh_7mfv_1,7MFV_1,Synthetic Nanobody #16 (Sb16),116,13,10640,818.0,3.0,1803.08,601.0,,,,177.0,24469.0,0.9,0.9,0.0,0.9,0.9,0.0,92.29,92.698,0.408,0.7786,0.793,단량체이므로 산출되지 않음
